# Japanese text version - non-fluent translation

# This .txt file is up-to-date with Gen 6 CTRPluginFramework 0.1.1. File parsing and language support is based off of Lukas' ACNL plugin.
# To edit the plugin's text to your own liking, change the text behind the "::" ONLY.
# "\n" means new line so do not remove that.
# Every Line that starts with "#" is just a note and does not need to be changed.

# If translating to other languages, ONLY replace texts after "::".

# Player Search System
PLAYER_SEARCH_SYSTEM :: プレイヤーサーチシステム
PLAYER_SEARCH_SYSTEM_PROFILE :: プロフィール
PLAYER_SEARCH_SYSTEM_O_POWER_GAUGE :: Oパワーゲージ
PLAYER_SEARCH_SYSTEM_CLEAR_USERS_LIST :: ユーザーリストを消去
PLAYER_SEARCH_SYSTEM_UNLOCK_EVERY_O_POWER :: すべてのOパワーを解放
PLAYER_SEARCH_SYSTEM_UNLOCK_EVERY_O_POWER_NOTE :: ゲームを保存して再起動すると、変更が永久に適用されます。

# Keyboard
KB_PSS_ICON :: アイコン:
KB_PSS_NICES :: いいね:
KB_PSS_WISHES :: ウィッシュ:
KB_PSS_PROFILE_MESSAGE :: メッセージ:
KB_PSS_HISTORY :: 履歴:
KB_PSS_CLEAR_HISTORY :: 消去
KB_PSS_HISTORY_CLEARED :: 履歴を消去しました！
KB_PSS_BATTLE :: バトル
KB_PSS_TRADE :: 交換
KB_PSS_LINKS :: リンク:
KB_PSS_SELECT_LINK :: 行き先を選んでください:\n\n
KB_PSS_LINK :: リンク
KB_PSS_WIFI :: Wi-Fi
KB_PSS_IR :: IR
KB_PSS_TOTAL_LINK :: 合計:
KB_PSS_LINK_AMOUNT :: 数:
KB_PSS_SURVEY_DUPLICATE :: 複製（元）:
KB_PSS_SURVEY_PASTE_TO :: （先）へ:
KB_PSS_SURVEY :: ミニアンケートを複製しました！
KB_PSS_GREETS :: あいさつ:
KB_PSS_GREET_TODAY :: 今日
KB_PSS_GREET_TOTAL :: 合計
KB_PSS_PROFILE_ICONS :: アイコン
KB_PSS_PROFILE_NICES :: いいね
KB_PSS_PROFILE_WISHES :: ウィッシュ
KB_PSS_PROFILE_MESSAGE_2:: メッセージ
KB_PSS_PROFILE_HISTORY :: 履歴
KB_PSS_PROFILE_LINKS :: リンク
KB_PSS_PROFILE_MINI_SURVEY :: ミニアンケート
KB_PSS_PROFILE_GREETS :: あいさつ
KB_PSS_USER_LIST_FRIENDS :: フレンド
KB_PSS_USER_LIST_ACQUAINTANCES :: 知り合い
KB_PSS_USER_LIST_CLEARED :: ユーザーリストを消去しました！

# MESSAGE
NOTE_UNLOCK_O_POWER_DONE :: すべてのOパワーはすでに解放されています！
NOTE_UNLOCK_O_POWERS :: すべてのOパワーを解放しました！

# Battle
BATTLE :: バトル
BATTLE_PARTY_POSITION :: 手持ちの位置:
BATTLE_IN_BATTLE :: バトル中
BATTLE_CONDITION :: 状態
BATTLE_STATS :: 能力値
BATTLE_HEALTH_AND_MANA :: HPとPP
BATTLE_ITEM :: 道具
BATTLE_MOVES :: わざ
BATTLE_EXP_MULTIPLIER :: 経験値倍率
BATTLE_VIEW_POKEMON_INFOS :: ポケモン情報を表示
BATTLE_ACCESS_BAG :: バッグを開く
BATTLE_ALLOW_MEGAS :: メガシンカを複数許可
BATTLE_OTHER :: その他
BATTLE_NO_WILD_POKEMON :: 野生ポケモンなし
BATTLE_WILD_POKEMON_SPAWNER :: 野生ポケモン出現
BATTLE_ALWAYS_SHINY :: 常に色違い
BATTLE_CAPTURE_RATE_100 :: 捕獲率100％
BATTLE_CAPTURE_TRAINER_POKEMON :: トレーナーのポケモンを捕まえる

# Keyboard
KB_BATTLE_EMPTY :: [なし]
KB_BATTLE_POSITION :: 位置:
KB_BATTLE_SELECTED_POSITION :: 選択中のバトル位置:
KB_BATTLE_PARALYZED :: まひ
KB_BATTLE_ASLEEP :: ねむり
KB_BATTLE_FROZEN :: こおり
KB_BATTLE_BURNED :: やけど
KB_BATTLE_POISONED :: どく
KB_BATTLE_NO_STATUS_EFFECTS :: なし
KB_BATTLE_AFFECTED :: 影響あり
KB_BATTLE_STATUS_REMOVED :: 状態異常を解除
KB_BATTLE_STATUS_APPLIED :: 状態異常を付与:
KB_BATTLE_STATS_BASE :: 基本
KB_BATTLE_STATS_BOOST :: 上昇
KB_BATTLE_STAT_ATTACK :: こうげき
KB_BATTLE_STAT_DEFENSE :: ぼうぎょ
KB_BATTLE_STAT_SP_ATTACK :: とくこう
KB_BATTLE_STAT_SP_DEFENSE :: とくぼう
KB_BATTLE_STAT_SPEED :: すばやさ
KB_BATTLE_STAT_ACCURACY :: めいちゅう
KB_BATTLE_STAT_EVASIVENESS :: かいひ
KB_BATTLE_STAT_UPDATED :: 更新
KB_BATTLE_STAT_BOOSTED :: 上昇
KB_BATTLE_HEALTH :: HP
KB_BATTLE_MANA :: PP
KB_BATTLE_HEALTH_SET_TO :: HPを設定:
KB_BATTLE_MANA_SET_TO :: PPを設定:
KB_BATTLE_ITEM_CHANGED :: 道具を変更:
KB_BATTLE_MOVE :: わざ

PK_VIEW_HP :: HP
PK_VIEW_ATK :: こうげき
PK_VIEW_DEF :: ぼうぎょ
PK_VIEW_SPE :: すばやさ
PK_VIEW_SPA :: とくこう
PK_VIEW_SPD :: とくぼう
PK_VIEW_SLOT :: スロット:
PK_VIEW_SPECIES :: 種族:
PK_VIEW_NATURE :: せいかく:
PK_VIEW_ITEM :: 道具:
PK_VIEW_ABILITY :: とくせい:
PK_VIEW_MOVES :: [わざ]
PK_VIEW_NONE :: なし
PK_VIEW_IV :: [個体値]
PK_VIEW_EV :: [努力値]
PK_VIEW_ENABLE :: 有効
PK_VIEW_DISABLE :: 無効
PK_VIEW_INFO :: 情報表示:

SPAWNER_INVALID :: 無効な種族が選択されました
KB_SPAWNER_FORM :: フォルム:
KB_SPAWNER_LEVEL :: レベル:
SPAWNER_SPAWNING :: 出現中:

# Editor & PKHeX
EDITOR :: PKHeX
EDITOR_TRAINER :: トレーナー
EDITOR_INFO :: 情報
EDITOR_TID_SID :: 表IDと裏ID
EDITOR_IGN :: 名前
EDITOR_TIME_PLAYED :: プレイ時間
EDITOR_GAME_LANGUAGE :: ゲームの言語
EDITOR_BAG :: バッグ
EDITOR_CURRENCY :: 通貨
EDITOR_MONEY :: おこづかい
EDITOR_BATTLE_POINTS :: バトルポイント
EDITOR_POKE_MILES :: ポケマイル
EDITOR_BAG_ITEMS :: 道具
EDITOR_BAG_MEDICINE :: かいふく
EDITOR_BAG_BERRIES :: きのみ
EDITOR_BAG_SPECIAL :: わざマシン・ひでんマシン＋どうぐ
EDITOR_BAG_TMS_HMS :: わざマシン・ひでんマシン
EDITOR_BAG_KEY_ITEMS :: どうぐ
EDITOR_PC_BOX :: パソコンのボックス
EDITOR_PC_EXPORT_IMPORT :: エクスポートとインポート
EDITOR_PC :: エディタ
EDITOR_PC_POSITION :: 位置
EDITOR_PC_MAIN :: メイン
EDITOR_PC_SHINY :: 色違い
EDITOR_PC_SPECIES :: 種族
EDITOR_PC_IS_NICKNAMED :: ニックネームあり
EDITOR_PC_NICKNAME :: ニックネーム
EDITOR_PC_LEVEL :: レベル
EDITOR_PC_NATURE :: せいかく
EDITOR_PC_GENDER :: 性別
EDITOR_PC_FORM :: フォルム
EDITOR_PC_HELD_ITEM :: 持ち物
EDITOR_PC_ABILITY :: とくせい
EDITOR_PC_FRIENDSHIP :: なつき度
EDITOR_PC_LANGUAGE :: 言語
EDITOR_PC_IS_EGG :: タマゴ
EDITOR_PC_VIRUS :: ポケルス
EDITOR_PC_COUNTRY :: 国
EDITOR_PC_REGION :: 3DSのリージョン
EDITOR_PC_ORIGINS :: 出会った場所
EDITOR_PC_ORIGINS_GAME_FROM :: 出身ソフト
EDITOR_PC_ORIGINS_BALL :: ボール
EDITOR_PC_ORIGINS_MET_LEVEL :: 出会ったレベル
EDITOR_PC_ORIGINS_MET_DATE :: 出会った日
EDITOR_PC_ORIGINS_IS_FATEFUL_ENCOUNTER :: 運命的な出会い
